T,Sd,Sv,Sa
2.138678866340957829e-01,2.004442945176946635e-03,6.374978531094228906e-02,2.431169573996884381e+00
2.186295415903689310e-01,2.000689023904882787e-03,6.360518568109903292e-02,2.307817164146693578e+00
2.234972122663437255e-01,1.946214234724576728e-03,5.910339175203327411e-02,2.181674378232983269e+00
2.284732590457371482e-01,1.981116704515241064e-03,5.686117517060193527e-02,2.057290754469658367e+00
2.335600948649561859e-01,1.952973685920783922e-03,5.381065028335767914e-02,1.959196174811054014e+00
2.387601863831562976e-01,1.806913360444255658e-03,5.185434409599071898e-02,1.906491019889406946e+00
2.440760551783492105e-01,1.592193415124884765e-03,5.018606014437651530e-02,1.859361105431469818e+00
2.495102789701426349e-01,1.491078181678411746e-03,4.864680350916573276e-02,1.817582332172950732e+00
2.550654928697026480e-01,1.488023851198645416e-03,4.713008052381918028e-02,1.778810913027829121e+00
2.607443906575468429e-01,1.484696732252882220e-03,4.560043433578619965e-02,1.750223625527087989e+00
2.665497260897854992e-01,1.481082431426647113e-03,4.407269437507425891e-02,1.726643717233914410e+00
2.724843142334471002e-01,1.477812816202950501e-03,4.255905220770300756e-02,1.703495846625205257e+00
2.785510328315328743e-01,1.475192730245100019e-03,4.211313628038832607e-02,1.681156322372339140e+00
2.847528236984643302e-01,1.472536317847459924e-03,4.210096838391742813e-02,1.659495047685561886e+00
2.910926941465991624e-01,1.598751930106059697e-03,4.215007171523863644e-02,1.638045171061885075e+00
2.975737184445083061e-01,1.746906318680039715e-03,4.223520367150293553e-02,1.615986021989412436e+00
3.041990393077202426e-01,1.866378378494059579e-03,4.231127755582565764e-02,1.592270602349794340e+00
3.109718694226561997e-01,1.961357765751529404e-03,4.488302942103267190e-02,1.565516599287816835e+00
3.178954930044953220e-01,1.981390083423145970e-03,4.723479285100367492e-02,1.535199791219647114e+00
3.249732673897237079e-01,1.946853726651640026e-03,4.854524460299600858e-02,1.547844044320593415e+00
3.322086246641423601e-01,2.025563927598171207e-03,4.728697032898616232e-02,1.612889579695749198e+00
3.396050733271203659e-01,2.004000386395120032e-03,4.583373478768327375e-02,1.661318738139581974e+00
3.471661999929027131e-01,2.091205416133889560e-03,4.325647717292414873e-02,1.687240547247047306e+00
3.548956711297964195e-01,2.161045700037656208e-03,3.970300564510338692e-02,1.689346208218322820e+00
3.627972348380790746e-01,2.181883487149342479e-03,4.300750526755954539e-02,1.667951774458661163e+00
3.708747226674907749e-01,2.152012069044465913e-03,4.651708261756281465e-02,1.624254307457964508e+00
3.791320514751928550e-01,2.037359154500966146e-03,4.894027477145922872e-02,1.560591791344575263e+00
3.875732253250915860e-01,1.876235677829945787e-03,5.009495421230774487e-02,1.481905231868405837e+00
3.962023374294507683e-01,1.705341832951817087e-03,4.994033339408930627e-02,1.394561108232270863e+00
4.050235721337318018e-01,1.808330229786937662e-03,4.854674142557987432e-02,1.304959596701188884e+00
4.140412069456267941e-01,1.896506447809998561e-03,4.603745911426087439e-02,1.224613525442073581e+00
4.232596146092654776e-01,2.004784849731253583e-03,4.259042080309399098e-02,1.234991695363060416e+00
4.326832652256041301e-01,2.371501522532886135e-03,3.878035462411945355e-02,1.232344599009365549e+00
4.423167284200241189e-01,2.734422221743112395e-03,4.152566499670769240e-02,1.212061089781105938e+00
4.521646755581893995e-01,2.935605673333079382e-03,4.742282703548624662e-02,1.177753945134130786e+00
4.622318820112410465e-01,3.290363766383004943e-03,4.919031245097498645e-02,1.134836780252274524e+00
